# name|url|commit|tree|license_path|license_blob|required_paths_semicolon_separated|required_file_blobs
karabiner|https://github.com/pqrs-org/Karabiner-Elements.git|865f0e0ee6ebb5f6a6857058b0cbfab8297f8469|10a85f02a5aa381e8e1523bb25df314a29b6cfa0|LICENSE.md|fdddb29aa445bf3d6a5d843d6dd77e10a9f99657|tests/src/complex_modifications_assets/json/lint/assets/;src/bin/cli/src/main.cpp|
via-app|https://github.com/the-via/app.git|65b50efc8e14e6feabff38ce20c191edf1f078f9|9d76a3b8a5b7ec976c3ef9048c49caa09779e25b|LICENSE|f288702d2fa16d3cdf0035b15a9fcbc552cd88e7|src/utils/test-keyboard-definition.json;src/components/panes/configure-panes/save-load.tsx|src/utils/test-keyboard-definition.json=8e89dd0f5103c5b7e15f43eaab785ef4ad6a62f3
via-keyboards|https://github.com/the-via/keyboards.git|e44d80f991664a9676a9a53fbb41892d88ef9069|fc8161d0a33e7a46c60953afa484ed2ce919bd1e|LICENSE|f288702d2fa16d3cdf0035b15a9fcbc552cd88e7|v3/0_sixty/0_sixty.json|v3/0_sixty/0_sixty.json=7ec91dd24b29c68e5fa975469b304a03c6bc136a
via-docs|https://github.com/the-via/website.git|cfdff9d8404547f55e0128ff278ea237c8a39bee|5d057dd5439729f195b0e177b06363fbdcb44f2b|LICENSE|f288702d2fa16d3cdf0035b15a9fcbc552cd88e7|docs/specification.md;docs/post_v3_changes.md|
qmk|https://github.com/qmk/qmk_firmware.git|3c73e928ab40b026adcff7112c8fc36a8d96152a|12276f044f5c8aa2a96075cb72c5d2c2d89955fe|LICENSE|d159169d1050894d3ea3b98e1c965c4058208fe1|quantum/via.h;quantum/via.c;lib/python/qmk/cli/via2json.py|
vial-qmk|https://github.com/vial-kb/vial-qmk.git|dd43959ae5c08d8a28d38a1acf7b04e86b14a344|b9a0d7b574d78f3e0622c5cfe1f9ff9901d63f64|LICENSE|d159169d1050894d3ea3b98e1c965c4058208fe1|quantum/vial.c;quantum/vial.h;util/vial_generate_definition.py;util/ci_vial_verify_uid.py;keyboards/vial_example/vial_rp2040/keymaps/vial/vial.json|keyboards/vial_example/vial_rp2040/keymaps/vial/vial.json=7525baeac5beee45d8c9baf774c77469c6a48b85
vial-gui|https://github.com/vial-kb/vial-gui.git|aef8222a2d0429a183b2ed692d5f9efcfd383f08|22a59cd7c2f7c4ef746378e259f6de0f1faa3633|COPYING|d159169d1050894d3ea3b98e1c965c4058208fe1|src/main/python/protocol/keyboard_comm.py;src/main/python/editor/keymap_editor.py|
phc-argon2|https://github.com/P-H-C/phc-winner-argon2.git|f57e61e19229e23c4445b85494dbf7c07de721cb|ac3dc753ff75ce5a0f243cba1d94582bafe09409|LICENSE|a16d6d2ffee94866a0fb5ce3ab08a5b9c49967af|Package.swift;src/ref.c;kats/|
swift-argon2id|https://github.com/MarlonJD/argon2id-swift-native.git|14d47de1914ac63b368ddb2cfe0f47ffe25f04cf|4bb860f4c47b4b327ea207da3fe7a007a05c7b81|LICENSE|4184b3c65a47bddfbd807eed1a4939a69d8d7535|Package.swift;Tests/Argon2idSwiftNativeTests/Argon2idSwiftNativeTests.swift|
